"Organization","Permit_Adminid","Permit_Name","Facility_Name","Facility_Status","Locality","MP_Name","MP_Type","Intake_Capacity_(MGD)","Source_of_Capacity_Estimate","Exemption_Code","Max_Pre-89_(MGY)","VDH_Total_Pumping_Capacity_(MGD)","401_Certification_Limit_(MGD)","Max_Pre-89_(MGM)"
"","0","","Harrisonburg (Community Water System)","proposed","Harrisonburg","Harrisonburg (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Harrisonburg (Large Self-Supplied User)","proposed","Harrisonburg","Harrisonburg (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Harrisonburg, City Of","70260","HARRISONBURG WTP(HARRISONBURG)","HARRISONBURG WTP","active","Rockingham","NORTH RIVER","Surface Water Intake","7.6","VWUDS Form","0","1242.8","0","0","136.35"
"Harrisonburg, City Of","163260","Harrisonburg WTP","HARRISONBURG WTP","active","Rockingham","NORTH RIVER","Surface Water Intake","7.6","VWUDS Form","0","1242.8","0","0","136.35"
"Harrisonburg, City Of","194881","City of Harrisonburg Public Water Supply System","HARRISONBURG WTP","active","Rockingham","NORTH RIVER","Surface Water Intake","7.6","VWUDS Form","0","1242.8","0","0","136.35"
"Harrisonburg, City Of","70260","HARRISONBURG WTP(HARRISONBURG)","HARRISONBURG WTP","active","Rockingham","DRY RIVER","Surface Water Intake","13.8","VWUDS Form","0","834.582","0","0","81.623"
"Harrisonburg, City Of","163260","Harrisonburg WTP","HARRISONBURG WTP","active","Rockingham","DRY RIVER","Surface Water Intake","13.8","VWUDS Form","0","834.582","0","0","81.623"
"Harrisonburg, City Of","194881","City of Harrisonburg Public Water Supply System","HARRISONBURG WTP","active","Rockingham","DRY RIVER","Surface Water Intake","13.8","VWUDS Form","0","834.582","0","0","81.623"
"Harrisonburg, City Of","70260","HARRISONBURG WTP(HARRISONBURG)","HARRISONBURG WTP","active","Rockingham","South Fork Intake","Surface Water Intake","0","","0","0","0","0","0"
"Harrisonburg, City Of","163260","Harrisonburg WTP","HARRISONBURG WTP","active","Rockingham","South Fork Intake","Surface Water Intake","0","","0","0","0","0","0"
"Harrisonburg, City Of","194881","City of Harrisonburg Public Water Supply System","HARRISONBURG WTP","active","Rockingham","South Fork Intake","Surface Water Intake","0","","0","0","0","0","0"
"S Harvey Wood Jr","69895","HARVEY WOOD & SON","HARVEY WOOD & SON","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Newport News, City Of","69539","HARWOOD'S MILL WTP(NEWPORT NEWS)","HARWOOD'S MILL WTP","active","York","HARWOOD'S MILL RESERVOIR","Surface Water Intake","0","","1","3387.993","55","0","428.093"
"Hassell Bonds","70414","Surface Water Reporting - [no name]","HASSELL BONDS","active","Carroll","FARM POND???","Surface Water Intake","0","","5","0","0","0","0"
"Donald Andrews","69931","Hatchers Run Creek(Turner Family Farms LLC)","Hatchers Run Creek","active","Dinwiddie","Hatchers Run Creek-Lake Jordan","Surface Water Intake","0","","0","0","0","0","0"
"Hat Creek Golf Course","68832","Hat Creek Golf Course(Hat Creek Golf Course (Irrigation))","Hat Creek Golf Course","active","Campbell","Pond","Surface Water Intake","0","","0","0","0","0","0"
"Hawkins Brothers","70052","HAWKINS BROTHERS FARM","HAWKINS BROTHERS FARM","inactive","Campbell","FARM POND 3        HOME POND","Surface Water Intake","0","","0","0","0","0","0"
"Hawkins Brothers","70052","HAWKINS BROTHERS FARM","HAWKINS BROTHERS FARM","inactive","Campbell","FARM POND 2","Surface Water Intake","0","","0","0","0","0","0"
"Hawkins Brothers","70052","HAWKINS BROTHERS FARM","HAWKINS BROTHERS FARM","inactive","Campbell","WINFALL CREEK","Surface Water Intake","0","","0","0","0","0","0"
"Hawkins Brothers","70052","HAWKINS BROTHERS FARM","HAWKINS BROTHERS FARM","inactive","Campbell","FARM POND 1","Surface Water Intake","0","","0","0","0","0","0"
"Mid-Atlantic Materials c/o Bardon, Inc.","69411","HAYFIELD SAND AND GRAVEL(HAYFIELD SAND AND GRAVEL)","HAYFIELD SAND AND GRAVEL","active","Caroline","HAYFIELD POND","Surface Water Intake","0","","0","0","0","0","0"
"Mid-Atlantic Materials c/o Bardon, Inc.","69411","HAYFIELD SAND AND GRAVEL(HAYFIELD SAND AND GRAVEL)","HAYFIELD SAND AND GRAVEL","active","Caroline","Hayfield Ponds","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Haymarket (Agriculture)","proposed","Prince William","Haymarket (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Haymarket (Community Water System)","proposed","Prince William","Haymarket (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Haymarket (Large Self-Supplied User)","proposed","Prince William","Haymarket (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"T H Crittenden And Sons","71155","HEART SEVENTEEN PRODUCE INC","HEART SEVENTEEN PRODUCE INC","active","Middlesex","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"T H Crittenden And Sons","71155","HEART SEVENTEEN PRODUCE INC","HEART SEVENTEEN PRODUCE INC","active","Middlesex","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Hells Point Golf Club LLC","66279","Hells Point","Hells Point Golf Club","active","Virginia Beach","IRRIGATION LAKE","Surface Water Intake","1.73","VWUDS Form","0","9.106","0","0","3.655"
"G Winston and Barbara M Henely","66040","[no name]","Henely Farm","inactive","Virginia Beach","LAND FARM POND","Surface Water Intake","0","","4","0","0","0","0"
"G Winston and Barbara M Henely","66040","[no name]","Henely Farm","inactive","Virginia Beach","HENLEY FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"","0","","Henrico (Agriculture)","proposed","Henrico","Henrico (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Henrico (Community Water System)","proposed","Henrico","Henrico (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Henrico County","69348","HENRICO COUNTY WTP(HENRICO COUNTY WTP)","HENRICO COUNTY WTP & Service Area","active","Henrico","JAMES RIVER","Surface Water Intake","0","","0","0","72","0","0"
"Henrico County","163230","Henrico County Water Treatment Plant","HENRICO COUNTY WTP & Service Area","active","Henrico","JAMES RIVER","Surface Water Intake","0","","0","0","72","0","0"
"","0","","Henrico (Large Self-Supplied User)","proposed","Henrico","Henrico (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Brett Aggregates Inc","71079","HENRICO PLANT(MEADOW ROAD PLANT)","HENRICO PLANT","inactive","Henrico","BOAR SWAMP CREEK","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Henry (Agriculture)","proposed","Henry","Henry (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Henry C Longest","69366","Surface Water Reporting - [no name]","HENRY C LONGEST","inactive","King and Queen","GARNETTS MILL STREAM","Surface Water Intake","0","","5","0","0","0","0"
"","0","","Henry (Community Water System)","proposed","Henry","Henry (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Henry Fitzgerald","70316","Henry Fitzgerald Farm(Henry Fitzgerald Farm)","Henry Fitzgerald Farm","active","Nelson","Piney River","Surface Water Intake","0","","0","0","0","0","0"
"Henry Fitzgerald","70316","Henry Fitzgerald Farm(Henry Fitzgerald Farm)","Henry Fitzgerald Farm","active","Nelson","Tye River","Surface Water Intake","0","","0","0","0","0","0"
"Henry Fitzgerald","70316","Henry Fitzgerald Farm(Henry Fitzgerald Farm)","Henry Fitzgerald Farm","active","Nelson","Rutgers Run","Surface Water Intake","0","","0","0","0","0","0"
"Henry Fitzgerald","70316","Henry Fitzgerald Farm(Henry Fitzgerald Farm)","Henry Fitzgerald Farm","active","Nelson","James River","Surface Water Intake","0","","0","0","0","0","0"
"Henry Fitzgerald","70316","Henry Fitzgerald Farm(Henry Fitzgerald Farm)","Henry Fitzgerald Farm","active","Nelson","Tye River-Saunders Ln","Surface Water Intake","0","","0","0","0","0","0"
"Henry Fitzgerald","70316","Henry Fitzgerald Farm(Henry Fitzgerald Farm)","Henry Fitzgerald Farm","active","Nelson","Tye River - 2614 Old Rose Mill Rd","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Henry (Large Self-Supplied User)","proposed","Henry","Henry (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Herbert W Linthicum","68955","Surface Water Reporting - [no name]","HERBERT W LINTHICUM","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Lester Properties","69254","Heritage Golf Club (Heritage Golf Club (Irrigation))","Heritage Golf Club ","inactive","Henry","Pond #5","Surface Water Intake","0","","0","0","0","0","0"
"Harrisonburg Parks & Rec","70281","Heritage Oaks Golf Course(Heritage Oaks Golf Course)","Heritage Oaks Golf Course, Harrisonburg Parks & Rec","active","Harrisonburg","POND","Surface Water Intake","0","","2","0","0","0","0"
"Hermitage Farms Nursery","66607","Hermitage Farms Nursery","Hermitage Farms Nursery","active","Northampton","D/E Pond","Surface Water Intake","0","","0","0","0","0","0"
"Hermitage Farms Nursery","66607","Hermitage Farms Nursery","Hermitage Farms Nursery","active","Northampton","BRANCH POND","Surface Water Intake","0","","1","0","0","0","0"
"Hermitage Country Club","70843","HERMITAGE GOLF COURSE(HERMITAGE COUNTRY CLUB)","HERMITAGE GOLF COURSE","active","Goochland","BROAD BRANCH PONDS #1, #2","Surface Water Intake","5.18","VWUDS Form","1","61","0","0","11"
"","0","","Herndon (Agriculture)","proposed","Fairfax County","Herndon (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Town Of Herndon","68640","Herndon Centennial Golf Course(Herndon Centennial Golf Course (Irrigation))","Herndon Centennial Golf Course","inactive","Fairfax County","Irrigation Pond","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Herndon (Community Water System)","proposed","Fairfax County","Herndon (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Herndon (Large Self-Supplied User)","proposed","Fairfax County","Herndon (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Town Of Herndon","70629","HERNDON SERVICE AREA(HERNDON)","HERNDON SERVICE AREA","active","Fairfax County","Surface Water From Folly Lick Branch Creek to the Golf Course Pond","Surface Water Intake","0","","5","0","0","0","0"
"Heron Ridge Golf Course","71445","HERON RIDGE GOLF COURSE(HERON RIDGE GOLF COURSE)","HERON RIDGE GOLF COURSE","active","Virginia Beach","IRRIGATION LAKE","Surface Water Intake","0","","2","0","0","0","0"
"Iluka Resources Inc","71506","HICKORY CONCENTRATOR SITE(HICKORY CONCENTRATOR SITE)","HICKORY CONCENTRATOR SITE","active","Dinwiddie","JOHNNY BAINS POND","Surface Water Intake","0","","0","0","0","0","0"
"Iluka Resources Inc","71506","HICKORY CONCENTRATOR SITE(HICKORY CONCENTRATOR SITE)","HICKORY CONCENTRATOR SITE","active","Dinwiddie","REYNOLDS POND FOR HICKORY SITE","Surface Water Intake","0","","0","0","0","0","0"
"Iluka Resources Inc","71506","HICKORY CONCENTRATOR SITE(HICKORY CONCENTRATOR SITE)","HICKORY CONCENTRATOR SITE","active","Dinwiddie","MARGARET BAINS POND","Surface Water Intake","0","","0","0","0","0","0"
"Iluka Resources Inc","71506","HICKORY CONCENTRATOR SITE(HICKORY CONCENTRATOR SITE)","HICKORY CONCENTRATOR SITE","active","Dinwiddie","1 OF 10 MISC RE USED DURING DR","Surface Water Intake","0","","0","0","0","0","0"
"Iluka Resources Inc","71506","HICKORY CONCENTRATOR SITE(HICKORY CONCENTRATOR SITE)","HICKORY CONCENTRATOR SITE","active","Dinwiddie","BARNES POND","Surface Water Intake","0","","0","0","0","0","0"
"Iluka Resources Inc","71506","HICKORY CONCENTRATOR SITE(HICKORY CONCENTRATOR SITE)","HICKORY CONCENTRATOR SITE","active","Dinwiddie","Nottoway River (Hickory Concentrator Site)","Surface Water Intake","0","","0","0","0","0","0"
"Iluka Resources Inc","71506","HICKORY CONCENTRATOR SITE(HICKORY CONCENTRATOR SITE)","HICKORY CONCENTRATOR SITE","active","Dinwiddie","ABERNATHY POND","Surface Water Intake","0","","0","0","0","0","0"
"Hidden Creek Country Club","71157","HIDDEN CREEK COUNTRY CLUB(LAKE ANNE)","HIDDEN CREEK COUNTRY CLUB","active","Fairfax County","LAKE ANNE","Surface Water Intake","0.5","VWUDS Form","1","0","0","0","0"
"Hidden Creek Country Club","71157","HIDDEN CREEK COUNTRY CLUB(LAKE ANNE)","HIDDEN CREEK COUNTRY CLUB","active","Fairfax County","COLVIN RUN  NR PRACTICE RANGE","Surface Water Intake","0.109","VWUDS Form","1","0","0","0","0"
"Hidden Creek Country Club","71157","HIDDEN CREEK COUNTRY CLUB(LAKE ANNE)","HIDDEN CREEK COUNTRY CLUB","active","Fairfax County","HOLDING POND #17","Surface Water Intake","2","VWUDS Form","1","0","0","0","0"
"High Knob Utilites Inc","69406","HIGH KNOB(HIGH KNOB)","HIGH KNOB","active","Warren","SPRING #1","Surface Water Intake","0","","0","0","0","0","0"
"High Knob Utilites Inc","69406","HIGH KNOB(HIGH KNOB)","HIGH KNOB","active","Warren","SPRING #4, #5, #6","Surface Water Intake","0","","0","0","0","0","0"
"High Knob Utilites Inc","69406","HIGH KNOB(HIGH KNOB)","HIGH KNOB","active","Warren","SPRING #3","Surface Water Intake","0","","0","0","0","0","0"
"Golf Acquisitions Inc","70169","HIGHLAND SPRINGS GOLF COURSE(HIGHLAND SPRINGS GOLF COURSE)","HIGHLAND SPRINGS GOLF COURSE","inactive","Henrico","13 GOLF COURSE LAKES","Surface Water Intake","0","","5","0.9","0","0","0.3"
"Ray Newman","66535","Highway Farm","Highway Farm","active","Northampton","DUG POND #1","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Hillsboro (Agriculture)","proposed","Loudoun","Hillsboro (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Hillsboro (Community Water System)","proposed","Loudoun","Hillsboro (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Hillsboro (Large Self-Supplied User)","proposed","Loudoun","Hillsboro (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"W. Todd Henley III","70524","HILLSBOROUGH FARM INC","HILLSBOROUGH FARM INC","active","King and Queen","MATTAPONI RIVER  38 ACRES","Surface Water Intake","0","","2","0","0","0","0"
"W. Todd Henley III","70524","HILLSBOROUGH FARM INC","HILLSBOROUGH FARM INC","active","King and Queen","MATTAPONI RIVER  40 ACRES","Surface Water Intake","0","","2","0","0","0","0"
"W. Todd Henley III","70524","HILLSBOROUGH FARM INC","HILLSBOROUGH FARM INC","active","King and Queen","Mattaponi River 80 acres","Surface Water Intake","0","","0","0","0","0","0"
"Bobby And Larry Hill","70698","HILLS FARM INC","HILLS FARM INC","inactive","Carroll","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Bobby And Larry Hill","70698","HILLS FARM INC","HILLS FARM INC","inactive","Carroll","NEW RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Bobby And Larry Hill","70698","HILLS FARM INC","HILLS FARM INC","inactive","Carroll","LITTLE REED ISLAND CREEK","Surface Water Intake","0","","0","0","0","0","0"
"William Janney","69897","HILLSIDE ACRES","HILLSIDE ACRES","inactive","Shenandoah","CROOKED RUN","Surface Water Intake","0","","0","0","0","0","0"
"Hillsville, Town Of","70866","HILLSVILLE WTP(HILLSVILLE)","HILLSVILLE WTP","active","Carroll","LITTLE REED ISLAND CREEK","Surface Water Intake","2","VWUDS Form","1","108.77","1.21","0","9.98"
"Kevin C Craun","70985","HILLVIEW FARM INC","HILLVIEW FARM INC","duplicate","Rockingham","LONG GLADE CREEK","Surface Water Intake","0","","0","0","0","0","0"
"Kevin C Craun","70531","HILLVIEW FARM INC","HILLVIEW FARM INC","active","Rockingham","LONG GLADE CREEK","Surface Water Intake","0","","1","0","0","0","0"
"Hilton C Hudson","69946","Surface Water Reporting - [no name]","HILTON C HUDSON","inactive","Halifax","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Hilton C Hudson","69946","Surface Water Reporting - [no name]","HILTON C HUDSON","inactive","Halifax","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Hilton C Hudson","69946","Surface Water Reporting - [no name]","HILTON C HUDSON","inactive","Halifax","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Agnes Dizerega Cook","69292","Historic Rock Spring Water Company, LLC (Rock Spring Farm)","Historic Rock Spring Water Company, LLC ","active","Loudoun","Town Spring ","Surface Water Intake","0","","0","0","0","0","0"
"Agnes Dizerega Cook","69292","Historic Rock Spring Water Company, LLC (Rock Spring Farm)","Historic Rock Spring Water Company, LLC ","active","Loudoun","Rock Spring","Surface Water Intake","0","","0","0","0","0","0"
"H T Huggins","70060","HISTORYLAND NURSURIES INC","HISTORYLAND NURSURIES INC","inactive","Richmond County","FARM POND 1 (LARGE)","Surface Water Intake","0","","0","0","0","0","0"
"H T Huggins","70060","HISTORYLAND NURSURIES INC","HISTORYLAND NURSURIES INC","inactive","Richmond County","FARM POND 1 (SMALL)","Surface Water Intake","0","","0","0","0","0","0"
"Richard W Hobgood","69972","HOBGOOD NURSERY","HOBGOOD NURSERY","inactive","Mecklenburg","FARM POND 1","Surface Water Intake","0","","0","0","0","0","0"
"Richard W Hobgood","69972","HOBGOOD NURSERY","HOBGOOD NURSERY","inactive","Mecklenburg","FARM POND 2","Surface Water Intake","0","","0","0","0","0","0"
"Cora Frymyer","69962","HOKIE FARMS","HOKIE FARMS","inactive","Page","MILL CREEK","Surface Water Intake","0","","1","0","0","0","0"
"Howard L Holloway","68735","HOLLOWAY FARM","HOLLOWAY FARM","inactive","Augusta","SOUTH RIVER","Surface Water Intake","0","","5","0","0","0","0"
"Hollows Corporation Inc,  The","71556","HOLLOWS GOLF COURSE, THE(HOLLOWS GOLF COURSE, THE)","HOLLOWS GOLF COURSE, THE","active","Hanover","SOUTH ANNA RIVER #2","Surface Water Intake","0","","5","0","0","0","0"
"Hollows Corporation Inc,  The","71556","HOLLOWS GOLF COURSE, THE(HOLLOWS GOLF COURSE, THE)","HOLLOWS GOLF COURSE, THE","active","Hanover","14-ACRE LAKE","Surface Water Intake","0","","5","8.2","0","0","1.76"
"Hollows Corporation Inc,  The","71556","HOLLOWS GOLF COURSE, THE(HOLLOWS GOLF COURSE, THE)","HOLLOWS GOLF COURSE, THE","active","Hanover","SOUTH ANNA RIVER #1","Surface Water Intake","0","","5","0","0","0","0"
"Nottingham Brothers Incorporated","66384","Holly Grove","Holly Grove Farm","active","Northampton","HOLLY GROVE FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"John F Ames","70616","HOLLY HILL FARM CORP","HOLLY HILL FARM CORP","active","Caroline","FARM POND","Surface Water Intake","0","","2","0","0","0","0"
"John F Ames","70616","HOLLY HILL FARM CORP","HOLLY HILL FARM CORP","active","Caroline","MATTAPONI RIVER","Surface Water Intake","0","","2","0","0","0","0"
"Richmond, City Of","69993","HOLLYWOOD HYDROPOWER PLANT(HOLLYWOOD HYDROPOWER PLANT)","HOLLYWOOD HYDROPOWER PLANT","inactive","Richmond City","JAMES RIVER","Surface Water Intake","0","","0","390722.949","0","0","185673.297"
"Daniel A Holsinger","69418","HOLSINGER DAIRY FARM","HOLSINGER DAIRY FARM","active","Augusta","SOUTH RIVER","Surface Water Intake","0","","2","111","0","0","51.8"
"Holston Hills Community Golf Course","69512","HOLSTON HILLS COUNTRY CLUB(HOLSTON HILLS COUNTRY CLUB)","Holston Hills Community Golf Course","active","Smyth","HOLSTON RIVER","Surface Water Intake","0.36","VWUDS Form","1","6.91","0","0","1.91"
"Homestead Water Co L.C.,The","70401","HOMESTEAD, THE(GOLF COURSE SYSTEM)","Homestead Golf Irrigation & Snow Production","active","Bath","Cascades Creek","Surface Water Intake","0","","5","72.342","0","0","17.315"
"Homestead Water Co L.C.,The","70401","HOMESTEAD, THE(GOLF COURSE SYSTEM)","Homestead Golf Irrigation & Snow Production","active","Bath","CASCADES CREEK LWR CASCADES GC","Surface Water Intake","0","","5","32.381","0","0","15.652"
"Homestead Water Co L.C.,The","70401","HOMESTEAD, THE(GOLF COURSE SYSTEM)","Homestead Golf Irrigation & Snow Production","active","Bath","Hot Springs Run","Surface Water Intake","0","","5","0","0","0","0"
"Homestead Water Co L.C.,The","70137","VIRGINIA HOT SPRINGS(VIRGINIA HOT SPRINGS)","Homestead Water Company-VA Hot Springs","active","Bath","CHAPLIN SPRINGS","Surface Water Intake","0","","0","146.299","0","0","17.391"
"Homestead Water Co L.C.,The","70137","VIRGINIA HOT SPRINGS(VIRGINIA HOT SPRINGS)","Homestead Water Company-VA Hot Springs","active","Bath","CASCADES-CHAPLIN-MCALLISTER SPRINGS","Surface Water Intake","0","","0","183.055","0","0","26.288"
"Homestead Water Co L.C.,The","70137","VIRGINIA HOT SPRINGS(VIRGINIA HOT SPRINGS)","Homestead Water Company-VA Hot Springs","active","Bath","KEYSER-JACKSON SPRINGS","Surface Water Intake","0","","0","0","0","0","0"
"Homestead Water Co L.C.,The","70137","VIRGINIA HOT SPRINGS(VIRGINIA HOT SPRINGS)","Homestead Water Company-VA Hot Springs","active","Bath","MCALLISTER SPRINGS","Surface Water Intake","0","","0","216.2","0","0","27.9"
"Honaker, Town Of","69623","HONAKER SERVICE AREA(HONAKER)","HONAKER SERVICE AREA","active","Russell","STUMP SPRING","Surface Water Intake","0","","0","17.657","0","0","2.1"
"Honey Bee Golf Club","69223","HONEY BEE GOLF CLUB(HONEY BEE GOLF CLUB (Irrigation))","Honey Bee Golf Club","active","Virginia Beach","Irrigation Pond","Surface Water Intake","0","","0","0","0","0","0"
"Curtis Witmer","70786","Honey Port Farm(Honey Port Farm Irrigation System)","Honey Port Farm","abandoned","Rockingham","Shenandoah River","Surface Water Intake","0","","0","0","0","0","0"
"Kenney F Barnard","69031","HOOT OWL HOLLOW FARMS(HOOT OWL HOLLOW FARMS)","HOOT OWL HOLLOW FARMS","active","Amelia","WEST CREEK POND","Surface Water Intake","0","","5","0","0","0","0"
"Kenney F Barnard","69031","HOOT OWL HOLLOW FARMS(HOOT OWL HOLLOW FARMS)","HOOT OWL HOLLOW FARMS","active","Amelia","WEST CREEK POND","Surface Water Intake","0","","5","0","0","0","0"
"Hopeland Farms Inc","68896","HOPELAND FARMS INC.","HOPELAND FARMS INC.","inactive","Accomack","FARM POND","Surface Water Intake","0","","5","19.2","0","0","12.96"
"East Coast Brokers And Packers","71409","Hopeton Farm(Hopeton Farm)","Hopeton Farm","inactive","Northampton","POND","Surface Water Intake","0","","0","0","0","0","0"
"Virginia American Water Co","69352","HOPEWELL DISTRICT(HOPEWELL DISTRICT)","HOPEWELL DISTRICT","active","Hopewell","APPOMATTOX RIVER","Surface Water Intake","45.6","VWUDS Form","1","0","45.64","0","0"
"WestRock CP, LLC","69427","HOPEWELL PLANT(HOPEWELL PLANT)","HOPEWELL PLANT","active","Hopewell","JAMES RIVER","Surface Water Intake","43","VWUDS Form","1","5485.596","0","0","511.5"
"WestRock CP, LLC","441151","Hopewell Mill River Intake Retrofit","HOPEWELL PLANT","active","Hopewell","JAMES RIVER","Surface Water Intake","43","VWUDS Form","1","5485.596","0","0","511.5"
"AdvanSix Resins & Chemicals LLC","69590","HOPEWELL PLANT(HOPEWELL PLANT)","HOPEWELL PLANT","active","Hopewell","JAMES RIVER","Surface Water Intake","220","VWUDS Form","1","51765.032","0","0","5676.007"
"Covington, City Of","68742","HORSE MOUNTAIN WTP 2(COVINGTON)","HORSE MOUNTAIN WTP 2","inactive","Alleghany","MILL BRANCH","Surface Water Intake","0","","0","467.459","0","0","69.776"
"Paul Kreynus And Sons Inc","70539","HORSESHOE FARM","HORSESHOE FARM","active","Hanover","PAMUNKEY RIVER LH 24   P-2","Surface Water Intake","0","","4","0","0","0","0"
"Paul Kreynus And Sons Inc","70539","HORSESHOE FARM","HORSESHOE FARM","active","Hanover","PAMUNKEY RIVER PIVOT 1 (formerly anything under LH 20, 22 or 24)","Surface Water Intake","0","","4","0","0","0","0"
"Paul Kreynus And Sons Inc","70539","HORSESHOE FARM","HORSESHOE FARM","active","Hanover","PAMUNKEY RIVER PIVOT 2 (formerly anything under LH 25)","Surface Water Intake","0","","2","0","0","0","0"
"Paul Kreynus And Sons Inc","70539","HORSESHOE FARM","HORSESHOE FARM","active","Hanover","PAMUNKEY RIVER LH 20  P-1B","Surface Water Intake","0","","4","0","0","0","0"
"Paul Kreynus And Sons Inc","70539","HORSESHOE FARM","HORSESHOE FARM","active","Hanover","PAMUNKEY RIVER LH 25  P-2 (formerly p3)","Surface Water Intake","0","","0","0","0","0","0"
"Paul Kreynus And Sons Inc","70539","HORSESHOE FARM","HORSESHOE FARM","active","Hanover","PAMUNKEY RIVER PIVOT 3 (formerly anything with LH 15,18 or19)","Surface Water Intake","0","","3","0","0","0","0"
"Howard And R B Smith","69808","Surface Water Reporting - [no name]","HOWARD AND R B SMITH","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Howard And R B Smith","71221","HOWARD B LESTER PROPERTY","HOWARD B LESTER PROPERTY","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Howard T Yeatts Jr","69284","Howard T. Yeatts, Jr.","Howard T. Yeatts, Jr.","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Hh Hunt Corporation","192138","Hunting Hawk Golf Club(Hunting Hawk Golf Club (Irrigation))","Hunting Hawk Golf Club","active","Hanover","Lake Hunting Hawk","Surface Water Intake","0","","0","0","0","0","0"
"Itg/Burlington Industries Inc","71423","HURT PLANT WTP(HURT PLANT)","HURT PLANT WTP","active","Pittsylvania","SYCAMORE CREEK","Surface Water Intake","6.9","VWUDS Form","1","1175.976","0","0","116.036"
"Itg/Burlington Industries Inc","71423","HURT PLANT WTP(HURT PLANT)","HURT PLANT WTP","active","Pittsylvania","ROANOKE RIVER","Surface Water Intake","10.8","VWUDS Form","1","211.346","0","0","29.543"
"Rufus Owen Iii","68996","HYCO HEIGHTS FARM","HYCO HEIGHTS FARM","inactive","Halifax","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Rufus Owen Iii","68996","HYCO HEIGHTS FARM","HYCO HEIGHTS FARM","inactive","Halifax","COLEMAN CREEK","Surface Water Intake","0","","0","0","0","0","0"
"ICPRB Upper Potomac Withdrawals","461491","ICPRB Upper Potomac Watershed","ICPRB Point of Rocks","proposed","","Withdrawals Above Point of Rocks","Surface Water Intake","0","","0","0","0","0","0"
"I Keith White","70305","Surface Water Reporting - [no name]","I KEITH WHITE","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Prosinc, LLC","71177","Independence Golf Club(Independence Golf Club)","Independence Golf Club","active","Chesterfield","POND","Surface Water Intake","0","","0","0","0","0","0"
"Prosinc, LLC","163262","Virginia State Golf Association","Independence Golf Club","active","Chesterfield","POND","Surface Water Intake","0","","0","0","0","0","0"
"Indian Creek Yacht and Country Club","66834","Indian Creek Yacht and Country Club","Indian Creek Yacht and Country Club","active","Northumberland","Irrigation Pond","Surface Water Intake","0","","0","0","0","0","0"
"Indian Creek Yacht and Country Club","71464","Indian Creek Yacht and Country Club","Indian Creek Yacht and Country Club","active","Northumberland","Irrigation Pond","Surface Water Intake","0","","0","0","0","0","0"
"Charles B Leech IV","68694","INGLESIDE DAIRY FARM, INC.(INGLESIDE DAIRY FARM, INC.)","INGLESIDE DAIRY FARM, INC.","active","Rockbridge","NORTH BUFFALO CREEK","Surface Water Intake","0","","4","0","0","0","0"
